,epoch,class_accuracy,noobj_accuracy,obj_accuracy,map
0,3,"tensor(21.5889, device='cuda:0')","tensor(99.8314, device='cuda:0')","tensor(0.6908, device='cuda:0')",0.199696347117424
1,6,"tensor(25.8779, device='cuda:0')","tensor(99.9962, device='cuda:0')","tensor(0.3022, device='cuda:0')",0.021215476095676422
2,9,"tensor(29.7640, device='cuda:0')","tensor(99.9964, device='cuda:0')","tensor(0.9643, device='cuda:0')",0.027494503185153008
3,12,"tensor(35.4634, device='cuda:0')","tensor(99.9820, device='cuda:0')","tensor(5.3253, device='cuda:0')",0.08772095292806625
4,15,"tensor(41.9833, device='cuda:0')","tensor(99.9678, device='cuda:0')","tensor(14.2631, device='cuda:0')",0.1950574368238449
5,18,"tensor(49.2948, device='cuda:0')","tensor(99.8864, device='cuda:0')","tensor(27.9505, device='cuda:0')",0.29980960488319397
6,21,"tensor(54.0731, device='cuda:0')","tensor(99.8825, device='cuda:0')","tensor(35.2476, device='cuda:0')",0.30886512994766235
7,24,"tensor(55.6707, device='cuda:0')","tensor(99.8051, device='cuda:0')","tensor(44.8474, device='cuda:0')",0.381710022687912
8,27,"tensor(53.9724, device='cuda:0')","tensor(99.8037, device='cuda:0')","tensor(51.2522, device='cuda:0')",0.4154398441314697
9,30,"tensor(55.0086, device='cuda:0')","tensor(99.8610, device='cuda:0')","tensor(52.6482, device='cuda:0')",0.42423149943351746
10,33,"tensor(57.3834, device='cuda:0')","tensor(99.8182, device='cuda:0')","tensor(62.7950, device='cuda:0')",0.4838683605194092
11,36,"tensor(42.2424, device='cuda:0')","tensor(99.8597, device='cuda:0')","tensor(56.6926, device='cuda:0')",0.2806791365146637
12,39,"tensor(46.4882, device='cuda:0')","tensor(99.7948, device='cuda:0')","tensor(69.8906, device='cuda:0')",0.3834318220615387
13,42,"tensor(60.8952, device='cuda:0')","tensor(99.8226, device='cuda:0')","tensor(70.4951, device='cuda:0')",0.5003434419631958
14,45,"tensor(61.0535, device='cuda:0')","tensor(99.8009, device='cuda:0')","tensor(70.1497, device='cuda:0')",0.49826011061668396
15,48,"tensor(58.4485, device='cuda:0')","tensor(99.8807, device='cuda:0')","tensor(69.5308, device='cuda:0')",0.49143218994140625
16,51,"tensor(61.8164, device='cuda:0')","tensor(99.8617, device='cuda:0')","tensor(74.3955, device='cuda:0')",0.48810532689094543
17,54,"tensor(48.2297, device='cuda:0')","tensor(99.8290, device='cuda:0')","tensor(72.7260, device='cuda:0')",0.3623213469982147
18,57,"tensor(57.9591, device='cuda:0')","tensor(99.8028, device='cuda:0')","tensor(77.1157, device='cuda:0')",0.48258617520332336
19,60,"tensor(68.6385, device='cuda:0')","tensor(99.8632, device='cuda:0')","tensor(77.8066, device='cuda:0')",0.5621796250343323
20,63,"tensor(66.0766, device='cuda:0')","tensor(99.9128, device='cuda:0')","tensor(69.1278, device='cuda:0')",0.5372812151908875
21,66,"tensor(65.1267, device='cuda:0')","tensor(99.8046, device='cuda:0')","tensor(79.8071, device='cuda:0')",0.549187421798706
22,69,"tensor(61.9891, device='cuda:0')","tensor(99.8392, device='cuda:0')","tensor(79.6344, device='cuda:0')",0.5087359547615051
23,72,"tensor(60.6505, device='cuda:0')","tensor(99.8631, device='cuda:0')","tensor(76.7127, device='cuda:0')",0.5283247828483582
24,75,"tensor(71.4450, device='cuda:0')","tensor(99.8547, device='cuda:0')","tensor(78.0656, device='cuda:0')",0.6088860034942627
25,78,"tensor(55.5843, device='cuda:0')","tensor(99.9181, device='cuda:0')","tensor(74.9280, device='cuda:0')",0.4459435045719147
26,81,"tensor(63.1117, device='cuda:0')","tensor(99.9041, device='cuda:0')","tensor(75.6045, device='cuda:0')",0.5165934562683105
27,84,"tensor(66.8250, device='cuda:0')","tensor(99.8983, device='cuda:0')","tensor(76.9430, device='cuda:0')",0.5606743693351746
28,87,"tensor(65.8319, device='cuda:0')","tensor(99.9238, device='cuda:0')","tensor(73.8198, device='cuda:0')",0.5455068945884705
29,90,"tensor(69.2861, device='cuda:0')","tensor(99.8898, device='cuda:0')","tensor(77.0869, device='cuda:0')",0.5609425902366638
30,93,"tensor(68.4370, device='cuda:0')","tensor(99.8967, device='cuda:0')","tensor(78.0368, device='cuda:0')",0.5857532620429993
31,96,"tensor(70.7974, device='cuda:0')","tensor(99.8756, device='cuda:0')","tensor(83.2326, device='cuda:0')",0.5864044427871704
32,99,"tensor(71.8912, device='cuda:0')","tensor(99.9074, device='cuda:0')","tensor(83.5780, device='cuda:0')",0.6075925230979919
33,102,"tensor(63.4859, device='cuda:0')","tensor(99.8913, device='cuda:0')","tensor(83.4485, device='cuda:0')",0.548867404460907
34,105,"tensor(73.6615, device='cuda:0')","tensor(99.8934, device='cuda:0')","tensor(86.8451, device='cuda:0')",0.6206173300743103
35,108,"tensor(72.4813, device='cuda:0')","tensor(99.8779, device='cuda:0')","tensor(87.1330, device='cuda:0')",0.5958565473556519
36,111,"tensor(77.6051, device='cuda:0')","tensor(99.9094, device='cuda:0')","tensor(84.4128, device='cuda:0')",0.6445900201797485
37,114,"tensor(69.5596, device='cuda:0')","tensor(99.9099, device='cuda:0')","tensor(81.6638, device='cuda:0')",0.5669554471969604
38,117,"tensor(70.8693, device='cuda:0')","tensor(99.9259, device='cuda:0')","tensor(80.7714, device='cuda:0')",0.5866509079933167
39,120,"tensor(76.7847, device='cuda:0')","tensor(99.9154, device='cuda:0')","tensor(87.4208, device='cuda:0')",0.6587063670158386
40,123,"tensor(66.5515, device='cuda:0')","tensor(99.8958, device='cuda:0')","tensor(87.2625, device='cuda:0')",0.566165030002594
41,126,"tensor(72.7691, device='cuda:0')","tensor(99.9330, device='cuda:0')","tensor(84.1393, device='cuda:0')",0.590936005115509
42,129,"tensor(70.2936, device='cuda:0')","tensor(99.8977, device='cuda:0')","tensor(88.7594, device='cuda:0')",0.5737338662147522
43,132,"tensor(71.8624, device='cuda:0')","tensor(99.9157, device='cuda:0')","tensor(84.0530, device='cuda:0')",0.6000398993492126
44,135,"tensor(74.7553, device='cuda:0')","tensor(99.8979, device='cuda:0')","tensor(86.2550, device='cuda:0')",0.6364021897315979
45,138,"tensor(61.4277, device='cuda:0')","tensor(99.9219, device='cuda:0')","tensor(85.8664, device='cuda:0')",0.5154783129692078
46,141,"tensor(71.4450, device='cuda:0')","tensor(99.9212, device='cuda:0')","tensor(87.6799, device='cuda:0')",0.5832427740097046
47,144,"tensor(71.2723, device='cuda:0')","tensor(99.9325, device='cuda:0')","tensor(85.6074, device='cuda:0')",0.5959712266921997
48,147,"tensor(72.6972, device='cuda:0')","tensor(99.9125, device='cuda:0')","tensor(89.0040, device='cuda:0')",0.6102745532989502
49,150,"tensor(74.1796, device='cuda:0')","tensor(99.9105, device='cuda:0')","tensor(89.3063, device='cuda:0')",0.6015263795852661
50,153,"tensor(74.0933, device='cuda:0')","tensor(99.9252, device='cuda:0')","tensor(85.6362, device='cuda:0')",0.590910017490387
51,156,"tensor(76.8135, device='cuda:0')","tensor(99.9080, device='cuda:0')","tensor(88.9752, device='cuda:0')",0.6271491646766663
52,159,"tensor(75.3166, device='cuda:0')","tensor(99.9289, device='cuda:0')","tensor(83.7651, device='cuda:0')",0.6127446293830872
53,162,"tensor(74.6114, device='cuda:0')","tensor(99.9185, device='cuda:0')","tensor(85.4059, device='cuda:0')",0.596933901309967
54,165,"tensor(64.8676, device='cuda:0')","tensor(99.9186, device='cuda:0')","tensor(87.9534, device='cuda:0')",0.5634486675262451
55,168,"tensor(73.1433, device='cuda:0')","tensor(99.9151, device='cuda:0')","tensor(86.9459, device='cuda:0')",0.6257798671722412
56,171,"tensor(74.1652, device='cuda:0')","tensor(99.9130, device='cuda:0')","tensor(91.0190, device='cuda:0')",0.6328403353691101
57,174,"tensor(77.3892, device='cuda:0')","tensor(99.9286, device='cuda:0')","tensor(88.5291, device='cuda:0')",0.6393048167228699
58,177,"tensor(77.4611, device='cuda:0')","tensor(99.9199, device='cuda:0')","tensor(89.1048, device='cuda:0')",0.6222999691963196
59,180,"tensor(72.1071, device='cuda:0')","tensor(99.9228, device='cuda:0')","tensor(88.0541, device='cuda:0')",0.572895348072052
60,183,"tensor(70.1929, device='cuda:0')","tensor(99.9125, device='cuda:0')","tensor(89.5509, device='cuda:0')",0.5487790107727051
61,186,"tensor(69.1278, device='cuda:0')","tensor(99.9277, device='cuda:0')","tensor(89.0760, device='cuda:0')",0.5442197918891907
62,189,"tensor(72.2798, device='cuda:0')","tensor(99.9300, device='cuda:0')","tensor(87.2913, device='cuda:0')",0.567794680595398
63,192,"tensor(65.9039, device='cuda:0')","tensor(99.9436, device='cuda:0')","tensor(84.1105, device='cuda:0')",0.5368281006813049
64,195,"tensor(77.5619, device='cuda:0')","tensor(99.9375, device='cuda:0')","tensor(87.0466, device='cuda:0')",0.6209792494773865
65,198,"tensor(74.7121, device='cuda:0')","tensor(99.9362, device='cuda:0')","tensor(88.2700, device='cuda:0')",0.5812976956367493
66,200,"tensor(77.6051, device='cuda:0')","tensor(99.9203, device='cuda:0')","tensor(89.3351, device='cuda:0')",0.6531100869178772
